1773430718,sensor1,home/temperature,67
1773430719,sensor1,home/temperature,67
1773430720,sensor1,home/temperature,67
1773430721,sensor1,home/temperature,67
1773430722,sensor1,home/temperature,67
1773430723,sensor1,home/temperature,67
1773430724,sensor1,home/temperature,67
1773430725,sensor1,home/temperature,67
1773430726,sensor1,home/temperature,67
1773430727,sensor1,home/temperature,67
1773430728,sensor1,home/temperature,67
1773430729,sensor1,home/temperature,67
1773430730,sensor1,home/temperature,67
1773430731,sensor1,home/temperature,67
1773430732,sensor1,home/temperature,67
1773430733,sensor1,home/temperature,67
1773430733,sensor1,home/bedroom,71
1773430734,sensor1,home/temperature,67
1773430735,sensor1,home/temperature,67
1773430736,sensor1,home/temperature,67
1773430737,sensor1,home/temperature,67
1773430738,sensor1,home/temperature,67
1773430738,sensor1,home/bedroom,71
1773430739,sensor1,home/temperature,67
1773430740,sensor1,home/temperature,67
1773430741,sensor1,home/temperature,67
1773430742,sensor1,home/temperature,67
1773430743,sensor1,home/temperature,67
1773430743,sensor1,home/bedroom,71
1773430744,sensor1,home/temperature,67
1773430745,sensor1,home/temperature,67
1773430746,sensor1,home/temperature,67
1773430747,sensor1,home/temperature,67
1773430748,sensor1,home/temperature,67
1773430748,sensor1,home/bedroom,71
1773430749,sensor1,home/temperature,67
1773430750,sensor1,home/temperature,67
1773430751,sensor1,home/temperature,67
1773430752,sensor1,home/temperature,67
1773430753,sensor1,home/temperature,67
1773430753,sensor1,home/bedroom,71
1773430754,sensor1,home/temperature,67
1773430755,sensor1,home/temperature,67
1773430756,sensor1,home/temperature,67
1773430757,sensor1,home/temperature,67
1773430758,sensor1,home/temperature,67
1773430758,sensor1,home/bedroom,71
1773430759,sensor1,home/temperature,67
1773430760,sensor1,home/temperature,67
1773430761,sensor1,home/temperature,67
1773430762,sensor1,home/temperature,67
1773430763,sensor1,home/temperature,67
1773430763,sensor1,home/bedroom,71
1773430764,sensor1,home/temperature,67
1773430765,sensor1,home/temperature,67
1773430766,sensor1,home/temperature,67
1773430767,sensor1,home/temperature,67
1773430768,sensor1,home/temperature,67
1773430768,sensor1,home/bedroom,71
1773430769,sensor1,home/temperature,67
1773430770,sensor1,home/temperature,67
1773430771,sensor1,home/temperature,67
1773430772,sensor1,home/temperature,67
1773430773,sensor1,home/temperature,67
1773430773,sensor1,home/bedroom,71
1773430774,sensor1,home/temperature,67
1773430775,sensor1,home/temperature,67
1773430776,sensor1,home/temperature,67
1773430777,sensor1,home/temperature,67
1773430778,sensor1,home/temperature,67
1773430778,sensor1,home/bedroom,71
1773430779,sensor1,home/temperature,67
1773430780,sensor1,home/temperature,67
1773430781,sensor1,home/temperature,67
1773430782,sensor1,home/temperature,67
1773430783,sensor1,home/temperature,67
1773430783,sensor1,home/bedroom,71
1773430784,sensor1,home/temperature,67
1773430785,sensor1,home/temperature,67
1773430786,sensor1,home/temperature,67
1773430787,sensor1,home/temperature,67
1773430788,sensor1,home/temperature,67
1773430788,sensor1,home/bedroom,71
1773430789,sensor1,home/temperature,67
1773430790,sensor1,home/temperature,67
1773430791,sensor1,home/temperature,67
1773430792,sensor1,home/temperature,67
1773430793,sensor1,home/temperature,67
1773430793,sensor1,home/bedroom,71
1773430794,sensor1,home/temperature,67
1773430795,sensor1,home/temperature,67
1773430796,sensor1,home/temperature,67
1773430797,sensor1,home/temperature,67
1773430798,sensor1,home/temperature,67
1773430798,sensor1,home/bedroom,71
1773430799,sensor1,home/temperature,67
1773430800,sensor1,home/temperature,67
1773430801,sensor1,home/temperature,67
1773430802,sensor1,home/temperature,67
1773430803,sensor1,home/temperature,67
1773430803,sensor1,home/bedroom,71
1773430804,sensor1,home/temperature,67
1773430805,sensor1,home/temperature,67
1773430806,sensor1,home/temperature,67
1773430807,sensor1,home/temperature,67
1773430808,sensor1,home/temperature,67
1773430808,sensor1,home/bedroom,71
